"titre","status","ads_d_appartenance","lien_ticket_jira","s__v__rit___dp_roc","bloc","version_corrective_111","sprint_de_correction_1","description_du_bug","version_de_roc"
"[MOE][Gestion des emplois]erreur 500 sur l'engagement temporaire et permanent","En cours de résolution et de qualification","DP ROC","ROC-3409","Bloquant","Emploi","V9.4.1","Sprint V9.5","Titre : [MOE][Gestion des emplois]erreur 500 sur l'engagement temporaire et permanente

Configuration : V9.4

Identifiant : AF

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/poste/creer/modele]

 

Descriptif :

Connecter avec l'AF, lorsque je veux créé un poste sur l'engagement temporaire ou permanent  pour un R01 , je coche l'une des deux cases et je clique sur le bouton Valider

 

Résultat attendu :

La création du poste continu

Résultat obtenu :

erreur 500

 

https://front-dr.integration.roc.fr.capgemini.com/_profiler/336b16

 

 

!image-2026-03-10-10-37-46-125.png!

 

 

 

 

!image-2026-03-10-10-37-19-608.png!","V9.5.0"
"Erreur 403 (""access denied"") lors de la modification de ses données personnelles","En cours de résolution et de qualification","DP ROC","ROC-3406","Bloquant","Perso","V9.5.0","Sprint V9.5","Sur picsel release, en v9.4.0, et en connectant avec un compte de référent ou encore le 4512_utilisateur, suite clic sur le nom de l'utilisateur (en haut à droite), j'ai une erreur 403.

Dans la log Symfony du front DR, j'ai une erreur Access denied comme suit : 

 

[2026-03-09 17:19:11] request.ERROR: Uncaught PHP Exception Symfony\\Component\\HttpKernel\\Exception\\AccessDeniedHttpException: """"

at CheckAccessSubscriber.php line 47 {""exception"":""[object] (Symfony\\\\Component\\\\HttpKernel\\\\Exception\\\\AccessDeniedHttpException(code: 0):  

at /var/www/html/roc-front/src/Security/EventSubscriber/CheckAccessSubscriber.php:47)""} ","V9.4.0"
"[MOE][Connexion] erreur 500 à la connexion avec l'AT","En cours de résolution et de qualification","DP ROC","ROC-3392","Bloquant","Connexion","","Sprint V9.5","Titre : [MOE] erreur 500 à la connexion avec l'AT

Configuration : V9.3.0

Identifiant :  Login : admin_technique

 

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/AT/login]

Descriptif :

Impossible de se connecter via MDC et connexion ROC avec l'administrateur technique

Résultat attendu :

Connexion OK

Résultat obtenu :

Erreur 500, login fail

 

 

!image-2026-03-02-10-33-38-662.png!

 

 

!image-2026-03-02-10-34-14-221.png!

 

 

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/540709?panel=request]

 

 ","V9.4.0"
"[MOE] [Activité] REF - Affichage macro activité KO","En cours de résolution et de qualification","DP ROC","ROC-3388","Bloquant","Activités","V9.4.1","Sprint V9.5","Utilisateur : 3481_utilisateur

En suivant les étapes de la TNR ici : https://jira-ci.fr.capgemini.com/jira/browse/ROC-253
Ou en suivant ces étapes :
 # Créer une activité RO1
 # Remplir les champs obligatoire et cliquer sur suivant
 # Cocher le bouton radio macro activité - Oui
 # Entrer un titre de macro activité et cliquer sur suivant
 # Continuer jusqu'à la publication
 # Après publication, aller dans l'onglet à convoquer
 # Chercher la macro activité nouvellement créé
 # Cliquer dessus dans le tableau
!image-2026-03-06-16-50-32-011.png|width=369,height=138!  
!image-2026-03-06-16-51-12-737.png|width=369,height=108!
!image-2026-03-06-16-53-11-231.png|width=375,height=116!","V9.4.0"
"[MOE] [Activité] AF - Activité à clôturer code autorité KO","En cours de résolution et de qualification","DP ROC","ROC-3381","Bloquant","Activités","V9.4.0","Sprint V9.5","Identifiant : 4512_utilisateur

URL : [https://front-dr.integration.roc.fr.capgemini.com/interne/activites/designer/liste]
 # Je me connecte en tant que AF
 # Je vais dans le bloc activité --> A clôturer
 # Je clique sur une activité
 # J'ajoute un réserviste
!image-2026-03-06-14-12-32-647.png|width=353,height=103!
 # Je renseigne un code autorité
 # J'enregistre OU valide et dans les 2 cas j'obtiens une erreur 500
!image-2026-03-06-14-13-54-452.png|width=388,height=114!","V9.4.0"
"Envoi de mail non conditionné par son statut","En cours de résolution et de qualification","DP ROC","ROC-3380","Majeur","","V8.3.7","Sprint V9.5","Contexte :

Les investigation autour de l'envoi de mails en PPROD au RO2 a révélé que le statut Actif/Inactif d'un e-mail paramétrable n'était jamais récupéré (aucun getter n'a été trouvé dans le code) ce qui implique que l'envoi d'un mail n'est pas conditionné par son statut.

Résultat attendu :

L'envoi d'un doit être conditionné par son statut, c'est à dire :
 * Un mail ""Actif"" doit pouvoir être envoyé si ses conditions d'envoi sont remplies ;
 * Un mail ""Inactif"" ne doit pas être envoyé même si toutes les autres conditions d'envoi sont remplies.","V8.3.5"
"[MOE][Contrat] Etape Retour Terme Perte de connexion du réserviste-Err getUniteVille() on null","En cours de résolution et de qualification","DP ROC","ROC-3375","Bloquant","Contrat","V9.4.0","Sprint V9.5","Sur l'env INTEGRATION, en tant qu'ADR j'ai initié le renouvellement du contrat du réserviste 196758_reserviste.roc@getnada.com

Celui-ci a pu se connecter à son compte pour l'étape Avis réserviste pour le renouvellement

Puis je suis passée aux étapes suivantes : Avis FE avec avis favorable (REF) et Hypothèse du réserviste avec le profil ADR.

Quand je suis revenu sur le site np avec le réserviste ou que j'essaie de me reconnecter avec le réserviste, j'ai l'erreur suivante : Erreur getUniteVille() on null

!image-2026-03-06-11-14-08-219.png!

 

!image-2026-03-06-11-15-51-145.png!

 

Piste plausible ancien contrat ? ","V9.4.0"
"[MOE] [Activité] AF - Enregistrement activité KO","En cours de résolution et de qualification","DP ROC","ROC-3374","Majeur","Activités","V9.4.1","Sprint V9.5","Identifiant : 4512_utilisateur

URL : [https://front-dr.integration.roc.fr.capgemini.com/interne/activites/creer/modele]
 # Je me connecte en tant que AF
 # Je vais dans le bloc activité --> Créer une activité
 # Je clique sur nouvelle activité prioritaire RO1
 # Je remplis les champs obligatoires en retenant le sous titre
 # Je clique sur le bouton enregistrer en bas du premier onglet de la page de création
 # Message de succès, je retourne sur la page de création d'activité et vais dans l'onglet en cours de création
 # Je remarque que le nombre n'a pas changé et je ne retrouve pas mon activité
 # Pareil pour l'étape 2 et 3 de la création de l'activité, aucun enregistrement ne se fait.","V9.4.0"
"[MOE] [Activité] AF - Tri date début et date fin non fonctionnel asc et dsc","En cours de résolution et de qualification","DP ROC","ROC-3372","Mineur","Activités","V9.5.0","Sprint V9.5","Identifiant : 4512_utilisateur

URL : [https://front-dr.integration.roc.fr.capgemini.com/interne/activites/creer/modele]
 # Je me connecte en tant que AF
 # Je vais dans le bloc activité --> Créer une activité
 # Je tri la colonne date de début en asc, le tri n'est pas le bon
!image-2026-03-06-10-33-50-855.png|width=465,height=192!
 # Je tri la colonne date de début en dsc, le tri n'est pas le bon
!image-2026-03-06-10-34-42-376.png|width=463,height=190!
 # Je tri la colonne date de fin en asc, le tri n'est pas le bon
!image-2026-03-06-10-36-25-942.png|width=450,height=189!
 # Je tri la colonne date de fin en dsc, le tri n'est pas le bon
!image-2026-03-06-10-37-08-652.png|width=449,height=188!","V9.4.0"
"La page du Swagger ne se charge plus","En cours de résolution et de qualification","DP ROC","ROC-3365","Majeur","","LIVRAISON HORS VERSION","Sprint V9.4","Une erreur survient au moment du chargement de la page du swagger. Par conséquent, nous ne pouvons plus générer de rapport spectral","V9.3.0"
"[MOE][ACTIVITE] Une erreur est survenue sur une activité en demandant la signature","En cours de résolution et de qualification","DP ROC","ROC-3364","Bloquant","Activités","V9.4.0","Sprint V9.4","Titre : [MOE][ACTIVITE] Une erreur est survenue sur une activité en demandant la signature

Configuration : V9.3.1 integration 

Identifiant :  AF

URL :   https://front-dr.integration.roc.fr.capgemini.com/interne/activites/signer/liste

Descriptif :

Dans le tableau activité , l'onglet ""A signer"", je prends une activité pour une demande signature , je choisi l'ATS, je confirme et redirection le tableau avec un message ""Une erreur est survenue "" 

Résultat attendu :

un message qui valide 

Résultat obtenu :

Une erreur est survenue 

 

(Pas de trace de signature avec l'ATS)

 

Pas d'erreur dans le Profiler

 

!image-2026-03-05-17-24-35-653.png!","V9.4.0"
"[MOE][ACTIVITE] erreur 500 au clique sur activité d'un RO1","En cours de résolution et de qualification","DP ROC","ROC-3363","Bloquant","Activités","V9.4.0","Sprint V9.4","Titre : [MOE][ACTIVITE] erreur 500 au clique sur activité d'un RO1

Configuration : V9.3.1

Identifiant :  RO1  marie.c@mail.com

URL :   [https://front-np.integration.roc.fr.capgemini.com/reserviste/mes-activites/1971607/inscription]

 

Descriptif :

Lorsque je suis connecté avec un RO1 pour m'inscrire sur activité qui me sont proposé, lors du clique sur l'activité une erreur 500 apparait

Résultat attendu :

enregistrement sur la convocation de l'activité 

Résultat obtenu :

une erreur 500

 

[https://front-np.integration.roc.fr.capgemini.com/_profiler/c71baa]

 

!image-2026-03-05-16-58-20-023.png!

 

 

 ","V9.4.0"
"[MOE][Candidature] ""une erreur est survenue"" sur le bouton candidater","En cours de résolution et de qualification","DP ROC","ROC-3361","Bloquant","Candidature","V9.4.0","Sprint V9.5","Titre : [MOE] ""une erreur est survenue"" sur le bouton candidater""

Configuration : V9.3.1 intégration

Identifiant : volontaire

URL :   [https://front-np.integration.roc.fr.capgemini.com/candidat/choix-emploi/validation/emploi/12209]

 

Descriptif :

Aprés la création d'un volontaire, lorsqu'un candidat souhaite faire le choix de l'offre d'emploi, il navigue pour prendre une offre et sur une offre d'emploi quand il clique sur le bouton candidater

Résultat attendu :

le volontaire poursuit l'engagement

Résultat obtenu :

""une erreur est survenue""

 

!image-2026-03-05-16-02-35-696.png!","V9.4.0"
"[MOE][Donnée personnelle]erreur 500 sur les donnèes personnelles avec l'AT","En cours de résolution et de qualification","DP ROC","ROC-3360","Mineur","Comptes","V9.4.0","Sprint V9.5","Titre : [MOE] erreur 500 sur les donnèes personnelles avec l'AT

Configuration : V9.3.0

Identifiant :  Login : admin_technique

 

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/AT/login]

Descriptif :

Suite à la connexion de l'administrateur technique, au clique sur les données personnel, une erreur apparait. 

Résultat attendu :

les données personnel s'affiche

Résultat obtenu :

Erreur 500","V9.4.0"
"[MOE] [Contrat] Mail Valideur ATM - Lien demande de validation de renouvellement KO - ATM","En cours de résolution et de qualification","DP ROC","ROC-3358","Bloquant","Contrat","V9.4.0","Sprint V9.5","Je suis à l'étape Validation ATM d'un renouvellement de contrat ESR. Le réserviste est 2385_reserviste.roc@getnada.com, l'E-mail du validateur ATM est romain@capgemini.com

Quand je vais dans la messagerie du valideur j'ai le mail suivant :
!image-2026-03-05-11-12-11-665.png!
 
 
Et quand je clique sur le lien, j'ai l'erreur suivante :
!image-2026-03-05-11-13-26-286.png!
 
!image-2026-03-05-11-14-08-995.png!
 
[P. DR - FO|https://front-dr.integration.roc.fr.capgemini.com/_profiler/15123b?panel=logger]","V9.4.0"
"[MOE][gestion des emplois] Manque les onglets du tableau","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3357","Mineur","Emploi","","","Titre : [MOE][gestion des emplois] Manque les onglets du tableau

Configuration : intégration V9.3.1

Identifiant : AF

URL :  [https://front-dr.integration.roc.fr.capgemini.com/interne/gestion-engagement/liste-postes/en-cours-creation-validation]

 

Descriptif :

Manque les onglets du tableau  ""En cours de création/Validation

Résultat attendu :

les onglets apparaissent

Résultat obtenu :

Manque les onglets du tableau

 

!image-2026-03-05-11-01-15-757.png!","V9.4.0"
"[MOE][Correspondant sécurité] pas de création de CS","En cours de résolution et de qualification","DP ROC","ROC-3355","Majeur","Droits","V9.4.0","Sprint V9.4","Titre : [MOE][Correspondant sécurité] pas de création de CS

 

Configuration : INTEGRATION V9.3.1

 

Identifiant : REF ET PIL

 

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/unite/officier-securite]

Descriptif :

Sur la création d'un correspondant de sécurité, remplir tous les champs et cliquer sur le bouton creer, un message s'affiche "" Le correspondant de sécurité a bien été créé. Un e-mail lui a été envoyé à ce sujet.

 

Résultat attendu :

Mail reçu à la création

Résultat obtenu :

Pas de mail reçu à la création

 

!image-2026-03-04-16-14-22-949.png!","V9.4.0"
"[MOE] [Contrat] Validation ATM - Non renouvellement ESR KO - ADR","En cours de résolution et de qualification","DP ROC","ROC-3353","Bloquant","Contrat","V9.4.0","Sprint V9.5","# En tant que ADR (adr2.ssa), je vais dans le bloc contrat ""Contrat en cours de renouvellement""
 # Je choisis un contrat à l'étape du workflow ""Validation ATM""
!image-2026-03-04-16-05-28-503.png|width=541,height=253!
 # Je clique sur le bouton ""Non renouvellement d'ESR""

J'obtiens :

!image-2026-03-04-16-02-15-393.png|width=458,height=381!

!image-2026-03-04-16-02-34-013.png|width=451,height=134!

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/cc2b31]","V9.4.0"
"[MOE] [Contrat] Validation ATM - Non renouvellement ESR KO - Réserviste","En cours de résolution et de qualification","DP ROC","ROC-3351","Bloquant","Contrat","V9.4.0","Sprint V9.5","# En tant que réserviste (2385_reserviste.roc@getnada.com), je vais dans le bloc contrat ""Mon ESR""
 # Mon contrat est à l'étape du workflow ""Validation ATM""
!image-2026-03-04-15-50-25-602.png|width=403,height=217!
 # Je clique sur le bouton ""Non renouvellement""

J'obtiens :

!image-2026-03-04-15-49-51-789.png|width=460,height=400!

!image-2026-03-04-15-51-43-463.png|width=463,height=142!

[https://front-np.integration.roc.fr.capgemini.com/_profiler/db1ffc]","V9.4.0"
"[MOE][Utilisateur]Une erreur s'est produite sur le changement d'un utilisateur","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3350","Mineur","","","","Titre : [Création compte Candidat] Des données saisies dans MDC Internet ne sont pas reprises dans la page ""Création du compte candidat""

Configuration : V9.3.1

Identifiant : AF - 10446_utilisateur

 

Descriptif :

Lorsque je me connecte avec l'AF, sur la page d'accueil je souhaite changer de rôle, je clique en haut à droite et je clique sur l'ADR

Résultat attendu :

Changement de rôle OK

Résultat obtenu :

Une erreur 500 sur la page

 

 

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/61c6c2?panel=request]

 

 

!image-2026-03-04-15-29-46-302.png!","V9.4.0"
"[MOE] [Contrat] Retour termes - Mauvaise date de fin du nouvel ESR - NP","En cours de résolution et de qualification","DP ROC","ROC-3349","Majeur","Contrat","V9.4.1","Sprint V9.5","# En tant que réserviste (59482_reserviste.roc@getnada.com), je vais dans le bloc contrat ""Mon ESR""
!image-2026-03-04-15-17-06-143.png|width=440,height=233!
 # Mon contrat est à l'étape ""Retour termes"" du workflow
 # Je clique sur ""Revoir la durée""

La date de fin du nouvel ESR renseigné est inférieur d'une année :

!image-2026-03-04-15-16-37-247.png|width=480,height=428!","V9.4.0"
"[MOE] [Contrat] Retour Termes - Mauvais affichage du champ corps - NP","En cours de résolution et de qualification","DP ROC","ROC-3348","Mineur","Contrat","V9.4.0","Sprint V9.5","# En tant que réserviste (59482_reserviste.roc@getnada.com), je vais dans le bloc contrat ""Mon ESR""
 # Mon contrat est à l'étape ""Retour termes"" du workflow !image-2026-03-04-15-11-08-563.png|width=429,height=206!
 # Je clique sur ""Revoir la durée""

Dans le champ ""Corps"", le corps n'est pas correctement affiché :

!image-2026-03-04-15-11-48-491.png|width=466,height=52!","V9.4.0"
"[MOE] [Contrat] Retour termes - Accepter les termes KO - NP - Reserviste","En cours de résolution et de qualification","DP ROC","ROC-3346","Bloquant","Contrat","V9.4.0","Sprint V9.4","# En tant que réserviste (59482_reserviste.roc@getnada.com), je vais dans le bloc contrat ""Mon ESR""
 # Mon contrat est à l'étape du workflow ""Retour termes""
!image-2026-03-04-11-28-26-349.png|width=404,height=213!
 # Je clique sur le bouton ""Accepter les termes""

J'obtiens :

!image-2026-03-04-12-15-29-440.png|width=440,height=383!

!image-2026-03-04-12-16-03-169.png|width=441,height=140!

[https://front-np.integration.roc.fr.capgemini.com/_profiler/572ef2]","V9.4.0"
"[MOE] [Contrat] Retour termes - Non renouvellement ESR KO - DR","En cours de résolution et de qualification","DP ROC","ROC-3345","Bloquant","Contrat","V9.4.0","Sprint V9.5","# En tant que ADR (adr2.ssa), je vais dans le bloc contrat ""Contrat en cours de renouvellement""
 # Je choisis un contrat à l'étape du workflow ""Retour termes""
!image-2026-03-04-11-28-26-349.png|width=447,height=236!
 # Je clique sur le bouton ""Non renouvellement d'ESR""

J'obtiens :

!image-2026-03-04-11-27-55-889.png|width=477,height=349!

!image-2026-03-04-11-29-07-306.png|width=478,height=145!

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/fe96f5]

 ","V9.4.0"
"[MOE] [Contrat] Hypothèse - Envoie hypothèse KO - DR","En cours de résolution et de qualification","DP ROC","ROC-3343","Bloquant","Contrat","V9.4.0","Sprint V9.4","# En tant que ADR (adr2.ssa), je vais dans le bloc contrat ""Contrat en cours de renouvellement""
 # Je choisis un contrat à l'étape du workflow ""Hypothèse""
!image-2026-03-04-10-32-11-168.png|width=437,height=169!
 # Je clique sur le bouton ""Initier un nouveau contrat ESR""
 # J'arrive sur la nouvelle page puis je descends tout en bas pour cliquer sur le bouton ""Envoyer l'hypothèse au réserviste""

!image-2026-03-04-11-04-11-476.png|width=500,height=220!

!image-2026-03-04-11-08-33-148.png|width=499,height=144!

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/13c1f2]

 ","V9.4.0"
"[MOE] [Contrat] Hypothèse - Mauvais affichage du champ corps DR","En cours de résolution et de qualification","DP ROC","ROC-3341","Mineur","Contrat","V9.4.0","Sprint V9.4","# En tant que ADR (adr2.ssa), je vais dans le bloc contrat ""Contrat en cours de renouvellement""
 # Je choisis un contrat à l'étape du workflow ""Hypothèse""
!image-2026-03-04-10-32-11-168.png|width=275,height=106,thumbnail!
 # Je clique sur le bouton ""Initier un nouveau contrat ESR""

Dans le champ ""Corps"", le corps n'est pas correctement affiché :

!image-2026-03-04-10-37-23-748.png|width=423,height=51!","V9.4.0"
"[MOE] [Contrat] Hypothèse/Initier - Non renouvellement d'un contrat ESR KO DR","En cours de résolution et de qualification","DP ROC","ROC-3339","Bloquant","Contrat","V9.4.0","Sprint V9.5","# En tant que ADR (adr2.ssa), je vais dans le bloc contrat ""Contrat en cours de renouvellement""
 # Je choisis un contrat à l'étape du workflow ""Hypothèse"" !image-2026-03-04-10-32-11-168.png|width=344,height=133!
 # Je clique sur le bouton ""Non renouvellement"" je complète les champs obligatoire

J'obtiens l'erreur :

!image-2026-03-04-10-30-24-818.png|width=512,height=401!

!image-2026-03-04-10-31-03-367.png|width=511,height=153!

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/48ba37?panel=exception&type=request]

 ","V9.4.0"
"[MOE] [Contrat] Avis FE Avis défavorable d'un contrat ESR KO DR","En cours de résolution et de qualification","DP ROC","ROC-3337","Bloquant","Contrat","V9.4.0","Sprint V9.5","# En tant que REF (10184_utilisateur), je vais dans le bloc contrat ""En renouvellement""
 # Je choisis un contrat avec le workflow se situant à l'étape ""Avis FE""
 # Je clique sur le bouton radio ""Avis favorable"" et je valide mon avis

J'obtiens l'erreur :

!image-2026-03-03-17-20-53-872.png|width=431,height=287!

!image-2026-03-03-17-21-14-417.png|width=431,height=129!

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/22359f]

 ","V9.4.0"
"[MOE] [Contrat] Avis FE Avis favorable d'un contrat ESR KO DR","En cours de résolution et de qualification","DP ROC","ROC-3336","Bloquant","Contrat","V9.4.0","Sprint V9.4","# En tant que REF (10184_utilisateur), je vais dans le bloc contrat ""En renouvellement""
 # Je choisis un contrat avec le workflow se situant à l'étape ""Avis FE""
 # Je clique sur le bouton radio ""Avis favorable"" et je valide mon avis

J'obtiens l'erreur :

!image-2026-03-03-17-16-54-088.png|width=385,height=341!

!image-2026-03-03-17-17-38-353.png|width=423,height=124!

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/6e1f8d]

 ","V9.4.0"
"[MOE] Une erreur s'est produite sur l'ajout d'un utilisateur","En attente de prise en compte dans l'usine logicielle","DP ROC","ROC-3335","Mineur","","","","Titre : [MOE] Une erreur s'est produite sur l'ajout d'un utilisateur

Configuration : V9.3.1

Identifiant : AF

 

URL :   [https://front-dr.integration.roc.fr.capgemini.com/interne/utilisateurs/gestionnaire/ajout]

 

Descriptif :

Sur la gestion des utilisateurs, cliquer sur ajouter utilisateur et mettre toutes les informations et cliquer valider.

Résultat attendu :

Ajout de l'utilisateur est OK

Résultat obtenu :

Une pop up apparait ""Une erreur s'est produite""

 

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/d6e1a0]

 

 

 

!image-2026-03-03-17-14-31-219.png!","V9.4.0"
"[MOE] [Contrat] Avis FE_Non renouvellement de mon contrat ESR KO NP","En cours de résolution et de qualification","DP ROC","ROC-3334","Bloquant","Contrat","V9.4.0","Sprint V9.5","# En tant que réserviste (7465_reserviste.roc@getnada.com), je vais dans le bloc contrat ""Mon ESR""
 # Le workflow se situe à l'étape ""Avis FE""
 # Je clique sur le bouton ""Non renouvellement"" je complète les champs obligatoire

J'obtiens l'erreur :

!image-2026-03-03-16-44-49-361.png|width=371,height=371!

[https://front-np.integration.roc.fr.capgemini.com/_profiler/3c68f5]

!image-2026-03-03-16-45-54-492.png|width=370,height=114!","V9.4.0"
"[MOE] [Contrat] Avis réserviste_Non renouvellement de mon contrat ESR KO NP","En cours de résolution et de qualification","DP ROC","ROC-3333","Bloquant","Contrat","V9.4.1","Sprint V9.5","# En tant que réserviste (7465_reserviste.roc@getnada.com), je vais dans le bloc contrat ""Mon ESR""
 # Le workflow se situe à l'étape ""Avis réserviste""
 # Je clique sur le bouton ""Je ne souhaite pas renouveler mon contrat""

J'obtiens cette erreur :

[https://front-np.integration.roc.fr.capgemini.com/_profiler/aefa22?panel=http_client&type=request]

!image-2026-03-03-16-35-40-017.png|width=514,height=176!","V9.4.0"
"[MOE][Gestion] une erreur 500 sur le flux candidat","En cours de résolution et de qualification","DP ROC","ROC-3332","Bloquant","","V9.4.0","Sprint V9.5","Titre :[MOE] une erreur 500 sur le flux candidat 

Configuration : V9.3.1

Identifiant :

 

URL :   [https://www.reservistes.defense.gouv.fr/candidat/creation-compte]

Descriptif :

Dans les suivi de candidatures, gestion flux candidat rejeté, mettre un nom de candidat et la date de naissance, ensuite cliquer le bouto rechercher

 

Résultat attendu :

le candidat est affiché

Résultat obtenu :

erreur 500

 

https://front-dr.integration.roc.fr.capgemini.com/_profiler/43d07c

 

!image-2026-03-03-16-12-42-032.png!","V9.4.0"
"[MOE] [Contrat] Erreur téléVersement ESR_ADR","En cours de résolution et de qualification","DP ROC","ROC-3331","Majeur","Contrat","V9.4.0","Sprint V9.4","# En tant qu'ADR (adr2.aae), je clique dans le tableau des contrats sur un contrat d'un réserviste.
 # Je descends jusqu'au tableau des ESR et je clique sur le bouton ""Téléverser un ESR valide"" en dessous du tableau
!image-2026-03-04-16-17-12-711.png|width=574,height=223!
 # Je rentre toutes les informations requises puis clique sur ""Valider""

J'obtiens une erreur :

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/f0ace0?panel=exception&type=request]

!image-2026-03-03-15-50-45-381.png|width=510,height=148!","V9.4.0"
"[MOE] [Contrat] Erreur téléChargement ESR_Profil ADR","En cours de résolution et de qualification","DP ROC","ROC-3330","Bloquant","Contrat","V9.4.0","Sprint V9.4","# En tant qu'ADR (adr2.aae), je clique dans le tableau des contrats sur un contrat d'un réserviste.
 # Je descends jusqu'au tableau des ESR et je clique sur le bouton ""Télécharger"" dans la colonne ""Télécharger""

!image-2026-03-03-15-43-06-481.png|width=543,height=112!

J'obtiens une erreur sur le nouvel onglet ouvert

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/1d600e?panel=logger]

[https://back-dr.integration.roc.fr.capgemini.com/_profiler/5527f7]

!image-2026-03-03-15-44-18-094.png|width=490,height=142!","V9.4.0"
"[MOE] une erreur 404 sur le refus d'une offre d'emploi","En cours de résolution et de qualification","DP ROC","ROC-3327","Majeur","","V9.4.0","Sprint V9.4","Titre : [MOE] une erreur 404 sur le refus d'une offre d'emploi

Configuration : V9.3.1

 

URL :   [https://front-dr.integration.roc.fr.capgemini.com/postes/validation-externe-poste/bee03046ddb57cb92ba7165b4558d3e7/501/408]

 

Descriptif :

Suite à une offre d'emploi créé par l'AF, une demande de validation de l'offre d'emploi est envoyé par mail, clique sur lien du mail et clique sur le refus de validation

Résultat attendu :

Dans le tableau de gestion des emplois, l'offre d'emploi est à refusé

Résultat obtenu :

une erreur 404 (Not found)

 

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/8b1754.]

 

 

!image-2026-03-03-15-28-25-677.png!","V9.4.0"
"[MOE] [Contrat] Validation lors du non renouvellement d'un contrat ESR KO_Profil ADR","En cours de résolution et de qualification","DP ROC","ROC-3325","Bloquant","Contrat","V9.4.0","Sprint V9.5","# En tant qu'ADR (adr2.aae) je clique sur un contrat à renouveler d'un réserviste
 # Je clique sur le bouton ""Non renouvellement d'ESR""
 # Je sélectionne une raison puis je clique sur ""Valider"" et j'ai une pop up ""Une erreur s'est produite"" :

!image-2026-03-03-14-50-56-994.png|width=366,height=337!

!image-2026-03-03-14-51-40-895.png|width=381,height=112!

https://front-dr.integration.roc.fr.capgemini.com/_profiler/6f0a1b","V9.4.0"
"[MOE] [Contrat] Renouvellement contrat ESR_Initier KO","En cours de résolution et de qualification","DP ROC","ROC-3321","Bloquant","Contrat","V9.4.0","Sprint V9.4","En tant qu'ADR (adr2.aae), je veux initialiser le renouvellement d'un contrat ESR d'un réserviste en cliquant sur le bouton ""Initier le renouvellement du contrat ESR"", j'ai une erreur :  !image-2026-03-03-14-32-38-731.png|width=522,height=51!","V9.4.0"
"[MOE] [Gestion des emplois] Erreur 500 sur le tri de la colonne Date limite de Candidature","En cours de résolution et de qualification","DP ROC","ROC-3317","Mineur","Emploi","","Sprint V9.5","En tant qu'AF,
 # Je vais dans l'onglet ""Gestion des emplois""
 # Je tri la colonne ""Date limite de Candidature"" en asc et en desc

On a deux erreurs 500 sur POST et GET lors des deux types de tri : 

!image-2026-03-03-11-34-03-381.png|width=536,height=143!

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/c46938]

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/a3db9e]

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/a3db9e]

[https://front-dr.integration.roc.fr.capgemini.com/_profiler/81a111]","V9.4.0"
"[MOE] [Gestion des emplois] Problème de filtre sur la colonne Date limite de Candidature","En cours de résolution et de qualification","DP ROC","ROC-3316","Majeur","Emploi","V9.4.0","Sprint V9.4","En tant qu'AF,
 # Je vais dans l'onglet ""Gestion des emplois""
 # Je remplis le champ filtre de la colonne ""Date limite de Candidature""

Lorsque l'on filtre une date il ne devrait pas y avoir les emplois où il n'y a pas de date.
!image-2026-03-03-11-20-54-830.png|width=503,height=201!","V9.4.0"
"[MOE] [Gestion des emplois] Problème de filtre sur la colonne Emploi","En cours de résolution et de qualification","DP ROC","ROC-3315","Mineur","Emploi","V9.4.0","Sprint V9.4","En tant qu'AF,
 # Je vais dans l'onglet ""Gestion des emplois""
 # Je remplis le champ filtre de la colonne ""Emploi""

Dès qu'il y a une valeur écrite dans le filtre, les lignes où il n'y a pas d'emploi ne devraient pas apparaître peu importe la valeur dans le filtre. !image-2026-03-03-11-16-21-496.png|width=528,height=195!","V9.4.0"
